200117 235729.340|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\Hunter Han\Documents\IntelliJProgs\pc2lib\exampleDir\bin\logs directory.
200117 235729.368|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE1 @ site 1
200117 235729.368|INFO|Thread-9|info|handlePacket start Packet[LOGIN] #10 SERVER0 @ site 1 -> SERVER0 @ site 0
200117 235729.368|INFO|Thread-9|dumpPacket|Packet LOGIN (Seq #10, o#10 ) handlePacket
200117 235729.368|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-K31L36J @ 192.168.127.1) (Contest Id: Default-5053916771268647617)
200117 235729.368|INFO|Thread-9|dumpPacket|    To: SERVER0 @ site 0
200117 235729.368|INFO|Thread-9|dumpPacket|   key: CLIENT_SETTINGS is: edu.csus.ecs.pc2.core.model.ClientSettings edu.csus.ecs.pc2.core.model.ClientSettings@26389a68
200117 235729.368|INFO|Thread-9|dumpPacket|   key: CONNECTION_HANDLE_ID is: edu.csus.ecs.pc2.core.transport.ConnectionHandlerID Socket[addr=/127.0.0.1,port=51366,localport=50002]-4277113533511075788
200117 235729.368|INFO|Thread-9|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE1 @ site 1
200117 235729.368|INFO|Thread-9|info|Note: got a LOGIN packet before this site was logged in Packet[LOGIN] #10 SERVER0 @ site 1 -> SERVER0 @ site 0
200117 235729.368|INFO|Thread-9|info|handlePacket end Packet[LOGIN] #10 SERVER0 @ site 1 -> SERVER0 @ site 0
200117 235729.369|INFO|Thread-9|info| receiveObject(S) end   got Packet[LOGIN] #10 SERVER0 @ site 1 -> SERVER0 @ site 0
200117 235729.390|INFO|Thread-10|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #9 SERVER0 @ site 1 -> JUDGE1 @ site 1
200117 235729.391|INFO|Thread-10|dumpPacket|Packet LOGIN_SUCCESS (Seq #9, o#9 ) recieveObject
200117 235729.391|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-K31L36J @ 192.168.127.1) (Contest Id: Default-5053916771268647617)
200117 235729.391|INFO|Thread-10|dumpPacket|    To: JUDGE1 @ site 1
200117 235729.391|INFO|Thread-10|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@45969616
200117 235729.391|INFO|Thread-10|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@4b5160d4
200117 235729.391|INFO|Thread-10|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
200117 235729.391|INFO|Thread-10|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@4f6efd66
200117 235729.391|INFO|Thread-10|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@a6c6aef
200117 235729.391|INFO|Thread-10|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@7bbb7b92
200117 235729.391|INFO|Thread-10|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@3bace3f1
200117 235729.391|INFO|Thread-10|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@391ac2f
200117 235729.391|INFO|Thread-10|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@6a4395a0
200117 235729.391|INFO|Thread-10|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@4a841491
200117 235729.391|INFO|Thread-10|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@166bd55b
200117 235729.391|INFO|Thread-10|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@1895e36d
200117 235729.391|INFO|Thread-10|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-3586998405885201546
200117 235729.391|INFO|Thread-10|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@6e0d8b4a
200117 235729.391|INFO|Thread-10|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@4c72a86
200117 235729.392|INFO|Thread-10|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@4ccee648
200117 235729.392|INFO|Thread-10|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@7b77fa37
200117 235729.392|INFO|Thread-10|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@79a269c8
200117 235729.392|INFO|Thread-10|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200117 235729.392|INFO|Thread-10|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1579327049357,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2020,MONTH=0,WEEK_OF_YEAR=3,WEEK_OF_MONTH=3,DAY_OF_MONTH=18,DAY_OF_YEAR=18,DAY_OF_WEEK=7,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=5,HOUR_OF_DAY=5,MINUTE=57,SECOND=29,MILLISECOND=357,ZONE_OFFSET=0,DST_OFFSET=0]
200117 235729.392|INFO|Thread-10|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-5053916771268647617
200117 235729.392|INFO|Thread-10|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@440cef60
200117 235729.392|INFO|Thread-10|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@7f4bbd0f
200117 235729.392|INFO|Thread-10|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@3ba94693
200117 235729.392|INFO|Thread-10|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE1 @ site 1
200117 235729.392|INFO|Thread-10|info|handlePacket start Packet[LOGIN_SUCCESS] #9 SERVER0 @ site 1 -> JUDGE1 @ site 1
200117 235729.392|INFO|Thread-10|dumpPacket|Packet LOGIN_SUCCESS (Seq #9, o#9 ) handlePacket
200117 235729.392|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (DESKTOP-K31L36J @ 192.168.127.1) (Contest Id: Default-5053916771268647617)
200117 235729.392|INFO|Thread-10|dumpPacket|    To: JUDGE1 @ site 1
200117 235729.392|INFO|Thread-10|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@45969616
200117 235729.392|INFO|Thread-10|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@4b5160d4
200117 235729.392|INFO|Thread-10|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
200117 235729.393|INFO|Thread-10|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@4f6efd66
200117 235729.393|INFO|Thread-10|dumpPacket|   key: SITE_LIST is: [Ledu.csus.ecs.pc2.core.model.Site; [Ledu.csus.ecs.pc2.core.model.Site;@a6c6aef
200117 235729.393|INFO|Thread-10|dumpPacket|   key: GROUP_LIST is: [Ledu.csus.ecs.pc2.core.model.Group; [Ledu.csus.ecs.pc2.core.model.Group;@7bbb7b92
200117 235729.394|INFO|Thread-10|dumpPacket|   key: CONTEST_TIME_LIST is: [Ledu.csus.ecs.pc2.core.model.ContestTime; [Ledu.csus.ecs.pc2.core.model.ContestTime;@3bace3f1
200117 235729.394|INFO|Thread-10|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@391ac2f
200117 235729.394|INFO|Thread-10|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@6a4395a0
200117 235729.395|INFO|Thread-10|dumpPacket|   key: CONNECTION_HANDLE_ID_LIST is: [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID; [Ledu.csus.ecs.pc2.core.transport.ConnectionHandlerID;@4a841491
200117 235729.395|INFO|Thread-10|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@166bd55b
200117 235729.396|INFO|Thread-10|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@1895e36d
200117 235729.396|INFO|Thread-10|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default-3586998405885201546
200117 235729.396|INFO|Thread-10|dumpPacket|   key: RUN_LIST is: [Ledu.csus.ecs.pc2.core.model.Run; [Ledu.csus.ecs.pc2.core.model.Run;@6e0d8b4a
200117 235729.396|INFO|Thread-10|dumpPacket|   key: PROFILE_LIST is: [Ledu.csus.ecs.pc2.core.model.Profile; [Ledu.csus.ecs.pc2.core.model.Profile;@4c72a86
200117 235729.396|INFO|Thread-10|dumpPacket|   key: LOCAL_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@4ccee648
200117 235729.396|INFO|Thread-10|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@7b77fa37
200117 235729.396|INFO|Thread-10|dumpPacket|   key: CLIENT_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.ClientSettings; [Ledu.csus.ecs.pc2.core.model.ClientSettings;@79a269c8
200117 235729.396|INFO|Thread-10|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200117 235729.396|INFO|Thread-10|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1579327049357,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2020,MONTH=0,WEEK_OF_YEAR=3,WEEK_OF_MONTH=3,DAY_OF_MONTH=18,DAY_OF_YEAR=18,DAY_OF_WEEK=7,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=5,HOUR_OF_DAY=5,MINUTE=57,SECOND=29,MILLISECOND=357,ZONE_OFFSET=0,DST_OFFSET=0]
200117 235729.396|INFO|Thread-10|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-5053916771268647617
200117 235729.396|INFO|Thread-10|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@440cef60
200117 235729.396|INFO|Thread-10|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@7f4bbd0f
200117 235729.396|INFO|Thread-10|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@3ba94693
200117 235729.396|INFO|Thread-10|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId JUDGE1 @ site 1
200117 235734.552|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
200118 000020.861|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
